antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Q5'}),frozenset({'Q1'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
frozenset({'Q1'}),frozenset({'Q5'}),0.03,0.02,0.01,0.33333333333333337,16.666666666666668,0.0094,1.47,0.9690721649484536
frozenset({'Q1'}),frozenset({'Q6'}),0.03,0.03,0.01,0.33333333333333337,11.111111111111112,0.0091,1.455,0.9381443298969072
frozenset({'Q6'}),frozenset({'Q1'}),0.03,0.03,0.01,0.33333333333333337,11.111111111111112,0.0091,1.455,0.9381443298969072
frozenset({'Q8'}),frozenset({'Q1'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
frozenset({'Q1'}),frozenset({'Q8'}),0.03,0.02,0.01,0.33333333333333337,16.666666666666668,0.0094,1.47,0.9690721649484536
frozenset({'Q5'}),frozenset({'Q2'}),0.02,0.01,0.01,0.5,50.0,0.0098,1.98,1.0
frozenset({'Q2'}),frozenset({'Q5'}),0.01,0.02,0.01,1.0,50.0,0.0098,inf,0.9898989898989898
frozenset({'Q7'}),frozenset({'Q2'}),0.03,0.01,0.01,0.33333333333333337,33.333333333333336,0.0097,1.485,1.0
frozenset({'Q2'}),frozenset({'Q7'}),0.01,0.03,0.01,1.0,33.333333333333336,0.0097,inf,0.9797979797979798
frozenset({'Q4'}),frozenset({'Q3'}),0.02,0.01,0.01,0.5,50.0,0.0098,1.98,1.0
frozenset({'Q3'}),frozenset({'Q4'}),0.01,0.02,0.01,1.0,50.0,0.0098,inf,0.9898989898989898
frozenset({'Q7'}),frozenset({'Q3'}),0.03,0.01,0.01,0.33333333333333337,33.333333333333336,0.0097,1.485,1.0
frozenset({'Q3'}),frozenset({'Q7'}),0.01,0.03,0.01,1.0,33.333333333333336,0.0097,inf,0.9797979797979798
frozenset({'Q4'}),frozenset({'Q6'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
frozenset({'Q6'}),frozenset({'Q4'}),0.03,0.02,0.01,0.33333333333333337,16.666666666666668,0.0094,1.47,0.9690721649484536
frozenset({'Q4'}),frozenset({'Q7'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
frozenset({'Q7'}),frozenset({'Q4'}),0.03,0.02,0.01,0.33333333333333337,16.666666666666668,0.0094,1.47,0.9690721649484536
frozenset({'Q7'}),frozenset({'Q5'}),0.03,0.02,0.01,0.33333333333333337,16.666666666666668,0.0094,1.47,0.9690721649484536
frozenset({'Q5'}),frozenset({'Q7'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
frozenset({'Q8'}),frozenset({'Q6'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
frozenset({'Q6'}),frozenset({'Q8'}),0.03,0.02,0.01,0.33333333333333337,16.666666666666668,0.0094,1.47,0.9690721649484536
frozenset({'Q9'}),frozenset({'Q7'}),0.02,0.03,0.01,0.5,16.666666666666668,0.0094,1.94,0.9591836734693878
