antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Q1'}),frozenset({'Q2'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q2'}),frozenset({'Q1'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q1'}),frozenset({'Q3'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q3'}),frozenset({'Q1'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q1'}),frozenset({'Q4'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q4'}),frozenset({'Q1'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q2'}),frozenset({'Q3'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q3'}),frozenset({'Q2'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q4'}),frozenset({'Q2'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q2'}),frozenset({'Q4'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q4'}),frozenset({'Q3'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q3'}),frozenset({'Q4'}),0.06666666666666667,0.06666666666666667,0.06666666666666667,1.0,15.0,0.06222222222222222,inf,1.0
frozenset({'Q5'}),frozenset({'Q6'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q6'}),frozenset({'Q5'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q7'}),frozenset({'Q5'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q5'}),frozenset({'Q7'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q5'}),frozenset({'Q8'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q8'}),frozenset({'Q5'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q5'}),frozenset({'Q9'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q9'}),frozenset({'Q5'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q10'}),frozenset({'Q5'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q5'}),frozenset({'Q10'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q5'}),frozenset({'Q11'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q11'}),frozenset({'Q5'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q7'}),frozenset({'Q6'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q6'}),frozenset({'Q7'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q8'}),frozenset({'Q6'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q6'}),frozenset({'Q8'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q6'}),frozenset({'Q9'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q9'}),frozenset({'Q6'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q10'}),frozenset({'Q6'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q6'}),frozenset({'Q10'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
frozenset({'Q11'}),frozenset({'Q6'}),0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,0.01638888888888889,inf,1.0000000000000002
